spkid,full_name,pdes,name,prefix,neo,sats,H,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
1000036,1P/Halley,1P,Halley,P,Y,0,,5.5,13.6,8.0,5.0,0.03,11.0,14.9x8.2,0.04,,,,,JPL 73,2439857.5,39857,1968-01-02.0,J2000,0.9679,17.93,0.575,162.19,59.11,112.26,274.14,35.28,0.01298,2446470.15,1986-02-08.6,27700.0,75.9,0.0753,29.3,0.782,-0.598,7.5e-09,9.9e-09,1.4e-07,1.5e-05,2e-05,2e-05,1.2e-07,1.9e-08,1.1e-11,1.3e-05,2.3e-05,HTC,Davide Farnocchia,57852.0,1835-08-21,1994-01-11,8548,,,0.0,0.61018,,4.8e-10,4e-11,1.6e-10,4.6e-15,,,,
1000025,2P/Encke,2P,Encke,P,Y,0,,15.5,,4.5,,,4.8,,0.046,11.083,,,,JPL K235/37,2457760.5,57760,2017-01-07.0,J2000,0.8483,2.215,0.336,11.78,334.56,186.56,341.43,4.09,0.299,2457822.59,2017-03-10.0,1200.0,3.3,0.173,67.3,0.921,3.03,3.9e-08,6.6e-09,8.6e-08,6.9e-06,3.2e-05,3.2e-05,2.4e-06,1.2e-08,1.3e-09,8.2e-06,5.4e-06,ETc,Davide Farnocchia,5172.0,2009-08-15,2023-10-13,3221,,,0.0,0.70868,,,,,,,,,
1000504,3D/Biela,3D,Biela,D,Y,0,,7.1,,10.0,,,,,,,,,,IAUCAT03,2390520.5,-9480,1832-12-03.0,J2000,0.7513,3.535,0.879,13.22,250.67,221.66,0.95,6.19,0.1483,2390514.12,1832-11-26.6,2430.0,6.65,0.000518,0.202,,2.53,,,,,,,,,,,,JFc,Marsden,,,,26,,,,,,3.9e-09,,-2.5e-10,,,,,
1000026,4P/Faye,4P,Faye,P,,0,,11.0,13.2,9.5,5.0,0.03,3.54,,,,,,,JPL K212/32,2458522.5,58522,2019-02-08.0,J2000,0.5845,3.798,1.578,8.16,194.8,205.99,234.73,6.02,0.1332,2459463.19,2021-09-05.6,2700.0,7.4,0.589,229.0,0.0663,2.74,1.1e-07,2e-07,4.5e-07,5.8e-06,6.2e-05,7e-05,1.5e-05,3.1e-07,1e-08,5.7e-05,0.00021,JFc,Davide Farnocchia,3593.0,2013-05-23,2023-03-25,3562,,,0.0,0.54329,,4e-09,1.2e-10,3.2e-10,6.3e-11,-7.1e-10,4.2e-11,-37.7,2.17
1000505,5D/Brorsen,5D,Brorsen,D,Y,0,,8.3,,10.0,,,,,,,,,,IAUCAT03,2407440.5,7440,1879-04-01.0,J2000,0.8098,3.101,0.59,29.38,102.97,14.95,0.17,5.61,0.1805,2407439.53,1879-03-31.0,1990.0,5.46,0.367,143.0,,2.47,,,,,,,,,,,,JFc,Landgraf,,,,127,,,,,,1.3e-08,,1.3e-09,,,,,
1000017,6P/d'Arrest,6P,d'Arrest,P,,0,,15.9,,8.5,,,3.2,,,,,,,JPL K212/13,2459302.5,59302,2021-03-29.0,J2000,0.6127,3.497,1.355,19.51,138.94,178.11,333.96,5.64,0.1507,2459475.29,2021-09-17.7,2390.0,6.54,0.343,133.0,0.208,2.71,1.4e-07,6.2e-07,7.1e-07,9e-06,3e-05,7.4e-05,1.5e-05,1e-06,4e-08,7e-05,0.00064,JFc,Davide Farnocchia,2913.0,2014-03-10,2022-03-01,1093,,,1.0,0.63861,,1.8e-10,2.7e-10,-8.5e-10,1.2e-10,,,,
1000069,7P/Pons-Winnecke,7P,Pons-Winnecke,P,Y,0,,16.0,,4.5,,,5.2,,,,,,,JPL 30,2457137.5,57137,2015-04-25.0,J2000,0.6376,3.419,1.239,22.33,93.42,172.51,13.17,5.6,0.1559,2457053.03,2015-01-30.5,2310.0,6.32,0.226,87.8,0.273,2.68,2.9e-08,3e-08,1e-07,7.1e-06,1.4e-05,1.8e-05,2.8e-06,5e-08,2.1e-09,1.9e-05,3.1e-05,JFc,Davide Farnocchia,37122.0,1921-04-28,2022-12-16,1679,,,0.0,0.66978,,6.4e-11,3.6e-13,-5.2e-12,5e-13,-1e-10,2.8e-12,150.0,5.52
1000099,8P/Tuttle,8P,Tuttle,P,Y,0,,14.6,,4.5,,,4.5,,,,,,1.0,JPL K215/24,2454701.5,54701,2008-08-23.0,J2000,0.8198,5.7,1.027,54.98,270.34,207.51,15.13,10.37,0.07242,2454492.52,2008-01-27.0,4970.0,13.6,0.0953,37.1,0.738,1.6,4.1e-08,5.2e-07,2.7e-07,1.2e-05,3.1e-05,2.9e-05,7.8e-07,9.4e-07,9.9e-09,2.8e-05,0.00068,JFC,Davide Farnocchia,20161.0,1967-01-07,2022-03-20,1768,,,0.0,0.6884,,4.2e-10,4.3e-11,-1.7e-11,1.5e-11,-4.6e-11,6.6e-11,67.5,12.8
1000093,9P/Tempel 1,9P,Tempel,P,,0,,12.9,,9.0,,,6.0,7.6x4.9,0.05,40.7,,,0.2,JPL K223/45,2457450.5,57450,2016-03-03.0,J2000,0.5097,3.146,1.543,10.47,68.76,179.19,333.06,4.75,0.1766,2457603.07,2016-08-02.5,2040.0,5.58,0.528,206.0,0.296,2.97,4.8e-08,8e-08,1.8e-07,4.2e-06,3.7e-05,3.8e-05,5.8e-06,1.2e-07,6.8e-09,3.4e-05,7.8e-05,JFc,Davide Farnocchia,5550.0,2008-10-25,2024-01-05,3264,,,0.0,0.4882,,2e-11,2.3e-11,1.2e-11,1.2e-12,,,,
1000094,10P/Tempel 2,10P,Tempel,P,,0,,14.2,,5.25,,,10.6,,0.022,8.93,,,,JPL K265/7,2456407.5,56407,2013-04-25.0,J2000,0.5364,3.065,1.421,12.03,117.8,195.54,188.41,4.71,0.1837,2457341.62,2015-11-15.1,1960.0,5.37,0.411,160.0,0.622,2.96,3.7e-08,4e-08,1.3e-07,3.2e-06,2e-05,2.1e-05,4.6e-06,6.1e-08,3.6e-09,3.8e-05,3.8e-05,JFc,Davide Farnocchia,7665.0,2003-03-07,2024-03-01,4513,,,0.0,0.62366,,2.2e-10,1.6e-11,5.4e-12,5.7e-13,7.3e-11,1.7e-11,,
1000365,11P/Tempel-Swift-LINEAR,11P,Tempel-Swift-LINEAR,P,,0,,15.2,18.6,20.0,5.0,0.03,,,,,,,,JPL K204/13,2458789.5,58789,2019-11-02.0,J2000,0.5774,3.289,1.39,14.44,238.99,167.77,295.54,5.19,0.1653,2459179.51,2020-11-26.0,2180.0,5.96,0.403,157.0,0.326,2.84,9.1e-08,3.1e-07,2.3e-07,8.6e-06,2.2e-05,3.9e-05,1.9e-06,4.8e-07,2.3e-08,4.8e-05,0.00031,JFc,Davide Farnocchia,7002.0,2001-12-07,2021-02-07,1182,,,0.0,0.61293,,,,,,,,,
1000068,12P/Pons-Brooks,12P,Pons-Brooks,P,Y,0,,5.0,11.0,15.0,10.0,,,,,,,,,JPL K242/56,2460185.5,60185,2023-08-29.0,J2000,0.9546,17.18,0.781,74.19,255.85,198.99,356.73,33.59,0.01384,2460421.63,2024-04-21.1,26000.0,71.2,0.179,69.8,2.02,0.598,3e-08,2.3e-07,5.2e-07,6.2e-06,2.3e-05,2.1e-05,6.8e-07,4.5e-07,2.8e-10,4.9e-05,0.00053,HTC,Davide Farnocchia,25824.0,1953-06-20,2024-03-03,7168,,,0.0,0.59019,,,,,,,,,
1000066,13P/Olbers,13P,Olbers,P,Y,0,,4.9,13.2,23.0,5.0,0.03,,,,,,,,JPL 33,2457583.5,57583,2016-07-14.0,J2000,0.9305,16.65,1.157,44.64,86.07,64.57,317.86,32.15,0.0145,2460489.13,2024-06-27.6,24800.0,68.0,0.455,177.0,0.739,1.25,6.9e-08,1.8e-07,1.1e-06,5.2e-05,6.1e-05,7.6e-05,2.9e-06,3.5e-07,2.4e-10,0.00022,0.00041,HTC,Davide Farnocchia,49862.0,1887-08-28,2024-03-04,1245,,,0.0,0.58778,,1.8e-09,3.6e-10,5.9e-10,1.6e-13,,,,
1000110,14P/Wolf,14P,Wolf,P,,0,,15.6,,4.5,,,4.66,,,9.02,,,,JPL K174/10,2455879.5,55879,2011-11-14.0,J2000,0.3575,4.247,2.729,27.94,202.11,159.2,111.42,5.76,0.1126,2454890.11,2009-02-27.6,3200.0,8.75,1.74,678.0,0.0426,2.72,1.4e-07,1.5e-07,5.7e-07,1.7e-05,3.7e-05,3.3e-05,1.4e-05,2e-07,5.8e-09,0.00016,0.00017,JFc,Davide Farnocchia,10439.0,1992-07-27,2021-02-24,361,,,0.0,0.45529,,,,,,,,,
1000027,15P/Finlay,15P,Finlay,P,Y,0,,14.9,,8.5,,,,,,,,,,JPL K213/17,2457327.5,57327,2015-11-01.0,J2000,0.7202,3.49,0.977,6.8,13.75,347.63,46.69,6.0,0.1511,2457018.57,2014-12-27.0,2380.0,6.52,0.00923,3.59,0.162,2.62,8.4e-08,3.8e-08,2.9e-07,8.5e-06,0.00012,0.00012,2.9e-06,6.5e-08,2.5e-09,2.2e-05,3.9e-05,JFc,Davide Farnocchia,5058.0,2008-04-27,2022-03-03,1655,,,0.0,0.75893,,2.2e-09,3e-11,-2.3e-10,3.3e-13,1.6e-09,4.5e-11,,
1000008,16P/Brooks 2,16P,Brooks,P,,0,,12.2,15.6,13.5,5.0,0.03,,,,,,,,JPL K212/8,2457551.5,57551,2016-06-12.0,J2000,0.569,3.375,1.455,4.31,159.34,220.17,115.79,5.29,0.159,2456823.27,2014-06-14.7,2260.0,6.2,0.46,179.0,0.21,2.86,5e-07,9.9e-07,1.6e-06,2.4e-05,0.00025,0.00023,5.4e-05,1.6e-06,7e-08,0.00019,0.001,JFc,Davide Farnocchia,2826.0,2014-05-05,2022-01-29,256,,,1.0,0.67223,,9.2e-09,1.8e-09,-3.7e-09,1.5e-09,,,,
1000044,17P/Holmes,17P,Holmes,P,,0,,9.4,13.8,14.75,5.0,0.03,3.42,,,,,,,JPL K212/34,2457680.5,57680,2016-10-19.0,J2000,0.4302,3.626,2.066,19.07,326.77,24.74,133.79,5.19,0.1427,2456743.22,2014-03-26.7,2520.0,6.91,1.07,418.0,0.481,2.86,1.1e-07,1.4e-07,4.5e-07,6.7e-06,4.5e-05,5.9e-05,2.2e-05,2.1e-07,8.5e-09,0.00017,0.00015,JFc,Davide Farnocchia,4401.0,2011-01-04,2023-01-22,2211,,,0.0,0.61434,,2.9e-09,2.2e-10,9.8e-10,9.2e-11,,,,
1000144,18D/Perrine-Mrkos,18D,Perrine-Mrkos,D,Y,0,,11.5,15.5,20.0,15.0,,,,,,,,,JPL J682/18,2440240.5,40240,1969-01-19.0,J2000,0.6426,3.56,1.272,17.76,240.88,166.05,11.51,5.85,0.1468,2440162.04,1968-11-01.5,2450.0,6.72,0.289,113.0,,2.67,7.6e-07,4.1e-07,2.6e-06,0.00012,0.00012,0.00037,6.3e-05,6.7e-07,2.5e-08,0.00043,0.00042,JFc,M.S.W. Keesey,2584.0,1961-11-29,1968-12-26,16,,,1.0,1.6514,,,,,,,,,
1000005,19P/Borrelly,19P,Borrelly,P,,0,,9.8,13.2,14.75,5.0,0.03,4.8,,0.022,,,,,JPL K222/14,2459275.5,59275,2021-03-02.0,J2000,0.6379,3.607,1.306,29.32,74.3,351.86,311.55,5.91,0.1439,2459612.26,2022-02-01.7,2500.0,6.85,0.325,126.0,0.443,2.56,7.6e-08,3.2e-07,3.4e-07,9.6e-06,1.8e-05,3.3e-05,1.3e-05,5.3e-07,1.9e-08,5e-05,0.00033,JFc,Davide Farnocchia,3219.0,2014-07-29,2023-05-22,2442,,,0.0,0.63165,,3.1e-09,1e-10,-5.5e-10,5.8e-11,,,,
1000212,20D/Westphal,20D,Westphal,D,Y,0,,8.8,,10.0,,,,,,,,,,JPL 19,2420080.5,20080,1913-11-09.0,J2000,0.9198,15.64,1.254,40.89,348.01,57.08,359.72,30.03,0.01593,2420098.29,1913-11-26.7,22600.0,61.9,0.468,182.0,,1.36,2.2e-07,8.2e-07,3.4e-06,0.0002,0.00013,0.00049,8.5e-06,1.6e-06,1.3e-09,0.00053,0.0018,HTC,M.S.W. Keesey,22321.0,1852-09-01,1913-10-13,201,,,0.0,2.0333,,,,,,,,,
1000032,21P/Giacobini-Zinner,21P,Giacobini-Zinner,P,Y,0,,13.1,,8.5,,,2.0,,,,,,,JPL K182/14,2458063.5,58063,2017-11-06.0,J2000,0.7105,3.5,1.013,32.0,195.41,172.81,313.61,5.99,0.1505,2458371.77,2018-09-10.2,2390.0,6.55,0.0179,6.96,0.248,2.46,1.1e-07,1.5e-07,3.8e-07,7.8e-06,2.4e-05,3.9e-05,5e-06,2.6e-07,9.6e-09,3.2e-05,0.00015,JFc,Shantanu Naidu,3196.0,2011-05-01,2020-01-30,1987,,,0.0,0.50573,,3.1e-09,7.2e-11,-1.8e-09,4.4e-11,-1.8e-09,4.2e-11,,
1000054,22P/Kopff,22P,Kopff,P,,0,,11.9,,9.75,,,3.0,,0.05,,,,0.4,JPL K222/40,2458538.5,58538,2019-02-24.0,J2000,0.5486,3.444,1.555,4.74,120.84,162.91,187.64,5.33,0.1542,2459656.39,2022-03-17.8,2330.0,6.39,0.539,210.0,0.0796,2.87,7.8e-08,8.4e-08,2.3e-07,5.7e-06,0.00015,0.00015,1.1e-05,1.3e-07,5.7e-09,9.3e-05,8.6e-05,JFc,Davide Farnocchia,3654.0,2013-12-30,2024-01-01,2670,,,0.0,0.68381,,,,,,,,,
1000009,23P/Brorsen-Metcalf,23P,Brorsen-Metcalf,P,Y,0,,7.8,14.0,8.0,5.0,0.03,,,,,,,,JPL 13,2447800.5,47800,1989-10-01.0,J2000,0.972,17.07,0.479,19.33,311.59,129.61,0.27,33.66,0.01398,2447781.44,1989-09-11.9,25800.0,70.5,0.194,75.4,,1.11,7e-07,0.00042,8.3e-07,5.4e-05,0.00013,0.00021,1e-05,0.00083,5.2e-07,2.8e-05,0.95,HTC,M.S.W. Keesey,51904.0,1847-08-01,1989-09-09,223,,,0.0,1.2347,,2.2e-09,2.1e-10,-5.3e-10,6.5e-14,,,,
1000077,24P/Schaumasse,24P,Schaumasse,P,Y,0,,12.0,15.6,16.0,5.0,0.03,2.6,,,,,,,JPL K173/9,2457350.5,57350,2015-11-24.0,J2000,0.7048,4.086,1.206,11.73,79.67,58.0,273.65,6.97,0.1193,2458074.26,2017-11-16.7,3020.0,8.26,0.283,110.0,0.457,2.5,1.3e-06,1.7e-05,6.3e-07,1.7e-05,7.5e-05,0.00015,0.00052,2.9e-05,7.5e-07,0.00016,0.019,JFc,Shantanu Naidu,6464.0,2000-10-07,2018-06-19,832,,,3.0,0.6705,,1.1e-09,8.8e-11,-1e-09,1.6e-10,,,,
1000064,25D/Neujmin 2,25D,Neujmin,D,,0,,12.5,16.0,15.0,10.0,,,,,,,,,JPL 7,2424960.5,24960,1927-03-21.0,J2000,0.5668,3.089,1.338,10.64,328.72,193.7,11.58,4.84,0.1815,2424896.72,1927-01-16.2,1980.0,5.43,0.35,136.0,,2.93,4.9e-07,1.5e-07,1.5e-06,8.6e-05,0.00025,0.00082,0.00018,2.4e-07,1.4e-08,0.00097,0.00015,JFc,M.S.W. Keesey,3994.0,1916-03-05,1927-02-10,55,,,1.0,1.2726,,,,,,,,,
1000034,26P/Grigg-Skjellerup,26P,Grigg-Skjellerup,P,Y,0,,16.5,,5.5,,,2.6,,,,,,,JPL K234/15,2455620.5,55620,2011-02-28.0,J2000,0.635,3.036,1.108,22.44,211.65,1.61,199.49,4.96,0.1863,2456482.09,2013-07-08.5,1930.0,5.29,0.103,40.0,0.00155,2.81,5.8e-08,4.8e-08,1.8e-07,1.1e-05,3.3e-05,3.5e-05,5.9e-06,7.9e-08,4.4e-09,4.5e-05,4.6e-05,JFc,Davide Farnocchia,5905.0,2007-12-19,2024-02-18,451,,,0.0,0.68631,,,,-5.2e-12,4.1e-13,,,,
1000016,27P/Crommelin,27P,Crommelin,P,Y,0,,12.7,16.3,27.75,5.0,0.03,,,,,,,,JPL 6,2452489.5,52489,2002-08-03.0,J2000,0.9193,9.093,0.734,29.22,250.96,195.96,241.87,17.45,0.03594,2455776.07,2011-08-02.5,10000.0,27.4,0.229,89.0,1.01,1.48,1e-07,5.3e-08,9.3e-07,5.3e-05,0.00013,0.00012,1.8e-06,1e-07,3.2e-10,7e-05,8.8e-05,HTC,Davide Farnocchia,20203.0,1956-10-03,2012-01-26,455,,,0.0,0.83198,,5.1e-10,2.7e-10,-2.7e-12,9.5e-14,,,,
1000063,28P/Neujmin 1,28P,Neujmin,P,,0,,13.2,,4.5,,,21.4,,0.025,,,,,JPL 81,2460047.5,60047,2023-04-13.0,J2000,0.7736,6.982,1.581,14.31,346.34,347.47,40.72,12.38,0.05343,2459285.26,2021-03-11.7,6740.0,18.4,0.574,223.0,0.96,2.17,2.2e-08,3.1e-08,1.5e-07,2.4e-06,3.7e-05,3.4e-05,4.2e-06,5.4e-08,3.5e-10,7.9e-05,4.4e-05,JFc,Davide Farnocchia,40330.0,1913-09-08,2024-02-08,1205,,,0.0,0.31772,,,,,,,,,
1000079,29P/Schwassmann-Wachmann 1,29P,Schwassmann-Wachmann,P,,0,,10.1,,4.5,,,60.4,,0.033,,,,7.4,JPL K192/80,2459945.5,59945,2023-01-01.0,J2000,0.0448,6.047,5.777,9.36,312.39,50.91,89.62,6.32,0.06628,2458593.29,2019-04-19.7,5430.0,14.9,4.78,1860.0,0.792,2.99,2.8e-08,1.3e-07,8.9e-08,1.9e-06,1.1e-05,3.3e-05,2.9e-05,1.3e-07,2.1e-09,0.00045,0.00017,JFc,Shantanu Naidu,5053.0,2009-02-17,2022-12-19,624,,,0.0,0.5309,,,,,,,,,
1000070,30P/Reinmuth 1,30P,Reinmuth,P,,0,,13.7,,6.5,,,7.8,,,,,,,JPL K243/24,2457046.5,57046,2015-01-24.0,J2000,0.5023,3.772,1.877,8.13,119.73,13.19,233.84,5.67,0.1345,2457984.34,2017-08-18.8,2680.0,7.33,0.893,348.0,0.159,2.84,1.4e-07,1e-07,5.4e-07,8.8e-06,6.4e-05,8e-05,2.4e-05,1.5e-07,5.5e-09,0.0002,0.00011,JFc,Davide Farnocchia,5308.0,2009-08-20,2024-03-02,2264,,,0.0,0.63022,,-2.6e-09,1.8e-10,3e-11,5.6e-12,,,,
1000080,31P/Schwassmann-Wachmann 2,31P,Schwassmann-Wachmann,P,,0,,7.2,14.0,17.5,5.0,0.03,6.2,,,,,,,JPL K193/22,2455554.5,55554,2010-12-24.0,J2000,0.193,4.243,3.424,4.55,114.19,17.93,9.65,5.06,0.1128,2455468.96,2010-09-29.4,3190.0,8.74,2.44,949.0,0.0552,2.99,9e-08,5.6e-08,3.8e-07,1e-05,0.00011,0.00013,4.8e-05,6.6e-08,2.2e-09,0.00043,6.3e-05,JFc,Shantanu Naidu,7492.0,2000-11-24,2021-05-30,1019,,,0.0,0.75507,,,,-5.3e-08,1.5e-09,,,,
1000015,32P/Comas Sola,32P,Comas Sola,P,,0,,10.6,13.5,11.25,5.0,0.03,8.4,,,,,,,JPL K242/23,2458585.5,58585,2019-04-12.0,J2000,0.5559,4.501,1.999,9.95,57.75,53.27,169.14,7.0,0.1032,2456946.76,2014-10-16.2,3490.0,9.55,1.03,402.0,0.246,2.68,3.2e-06,5.5e-06,1.3e-05,1.6e-05,4.8e-05,0.0012,0.0031,8.5e-06,1.9e-07,0.028,0.0064,JFc,Davide Farnocchia,3814.0,2013-09-24,2024-03-04,2851,,,3.0,0.48192,,-2.4e-08,6.3e-10,2e-09,1.6e-10,1.4e-10,6e-11,1570.0,60.2
1000018,33P/Daniel,33P,Daniel,P,,0,,15.4,,4.5,,,2.6,,,,,,,JPL K163/9,2455528.5,55528,2010-11-28.0,J2000,0.4624,4.03,2.166,22.39,66.54,18.9,104.84,5.89,0.1218,2454667.97,2008-07-20.4,2950.0,8.09,1.19,464.0,0.152,2.73,1.3e-06,3.2e-07,5.3e-06,1.4e-05,0.00012,0.00036,9.7e-05,4.7e-07,1.4e-08,0.00081,0.00035,JFc,Davide Farnocchia,6347.0,1999-11-13,2017-03-30,421,,,1.0,0.88709,,3.4e-09,1.3e-09,4.7e-10,1.4e-11,,,,
1000284,34D/Gale,34D,Gale,D,Y,0,,10.5,,20.0,,,,,,,,,,SAO/1938,2429080.5,29080,1938-07-01.0,J2000,0.7607,4.944,1.183,11.73,67.92,209.16,1.12,8.7,0.08967,2429067.98,1938-06-18.4,4020.0,11.0,0.0,,,2.29,,,,,,,,,,,,JFc,Marsden,,1927-??-??,1938-??-??,47,,,,,F,,,,,,,,
1000043,35P/Herschel-Rigollet,35P,Herschel-Rigollet,P,Y,0,,8.3,,10.0,,,,,,,,,,SAO/1939,2429480.5,29480,1939-08-05.0,J2000,0.974,28.84,0.748,64.21,355.98,29.3,359.97,56.94,0.006363,2429484.96,1939-08-09.4,56600.0,155.0,0.0,,,0.644,,,,,,,,,,,,HTC,Marsden,,1788-??-??,1940-??-??,75,,,,,F,,,,,,,,
1000105,36P/Whipple,36P,Whipple,P,,0,,10.5,14.5,13.25,5.0,0.03,4.56,,,,,,,JPL 24,2454690.5,54690,2008-08-12.0,J2000,0.2582,4.165,3.089,9.94,182.39,201.96,216.49,5.24,0.116,2455927.98,2012-01-01.4,3100.0,8.5,2.1,815.0,0.26,2.95,8.3e-08,3.9e-08,3.4e-07,1e-05,5e-05,5.7e-05,1.9e-05,5e-08,1.6e-09,0.00015,4.4e-05,JFc,Davide Farnocchia,26894.0,1948-07-18,2022-03-06,943,,,0.0,0.64068,,5.3e-09,9.6e-10,-5.4e-10,3.3e-11,,,,
1000028,37P/Forbes,37P,Forbes,P,,0,,11.3,15.4,17.0,5.0,0.03,1.92,,,,,,,JPL K243/1,2457861.5,57861,2017-04-18.0,J2000,0.5345,3.456,1.609,8.96,314.64,330.0,301.54,5.3,0.1534,2458242.64,2018-05-04.1,2350.0,6.43,0.6,233.0,0.226,2.87,2.3e-07,4.8e-07,8.4e-07,1.2e-05,5.4e-05,0.0001,3e-05,7.4e-07,3.2e-08,0.00013,0.00049,JFc,Shantanu Naidu,4755.0,2011-02-08,2024-02-15,1209,,,1.0,0.59707,,7.8e-09,2.3e-10,-5.4e-10,7.5e-12,,,,
1000089,38P/Stephan-Oterma,38P,Stephan-Oterma,P,,0,,11.5,13.4,9.5,5.0,0.03,,,,,,,,JPL 22,2458262.5,58262,2018-05-24.0,J2000,0.8593,11.29,1.589,18.35,78.0,359.59,355.56,20.99,0.02599,2458433.49,2018-11-10.9,13900.0,37.9,0.604,235.0,1.33,1.89,2.2e-08,2.8e-08,2.5e-07,6.8e-06,1.6e-05,2.7e-05,1.1e-06,5.1e-08,9.6e-11,4e-05,5.1e-05,HTC,Javier Roa,28321.0,1942-11-06,2020-05-21,3265,,,0.0,0.47939,,,,-2.7e-11,2.1e-13,,,,
1000177,39P/Oterma,39P,Oterma,P,,0,,6.8,13.6,14.75,5.0,0.03,,,,,,,,JPL 24,2456994.5,56994,2014-12-03.0,J2000,0.2284,7.403,5.712,1.48,303.64,89.7,210.8,9.09,0.04893,2460043.78,2023-04-09.2,7360.0,20.1,4.72,1840.0,0.782,3.02,2.8e-07,1.4e-06,3.1e-06,2e-05,0.00075,0.00077,0.00013,1.7e-06,1.3e-08,0.0019,0.002,CTc,Davide Farnocchia,29851.0,1942-02-17,2023-11-10,287,,,0.0,0.39392,,,,,,,,,
1000101,40P/Vaisala 1,40P,Vaisala,P,,0,,11.7,14.8,13.0,5.0,0.03,4.2,,,,,,,JPL K148/7,2457262.5,57262,2015-08-28.0,J2000,0.6316,4.94,1.82,11.49,133.84,47.29,25.6,8.06,0.08977,2456977.34,2014-11-15.8,4010.0,11.0,0.848,330.0,0.0865,2.53,8.4e-08,5.2e-08,4.1e-07,5.6e-06,5.2e-05,5.4e-05,5.6e-06,8.4e-08,1.4e-09,5.9e-05,6.3e-05,JFc,Ryan S. Park,27930.0,1939-01-18,2015-07-08,1128,,,0.0,0.84439,,,,-1.1e-10,2.5e-13,,,,
1000100,41P/Tuttle-Giacobini-Kresak,41P,Tuttle-Giacobini-Kresak,P,Y,0,,16.9,,4.5,,,1.4,,,,,,,JPL K222/6,2457857.5,57857,2017-04-14.0,J2000,0.6613,3.085,1.045,9.23,141.06,62.17,0.23,5.13,0.1819,2457856.25,2017-04-12.7,1980.0,5.42,0.134,52.0,0.488,2.83,7.1e-07,6.6e-06,5.1e-08,7.3e-06,1.5e-05,2.1e-05,1.9e-06,1.1e-05,5.8e-07,7.1e-06,0.0064,JFc,Davide Farnocchia,2498.0,2016-11-10,2023-09-13,4300,,,3.0,0.40933,,6.6e-09,5.8e-11,-2.1e-10,7.7e-11,,,,
1000065,42P/Neujmin 3,42P,Neujmin,P,,0,,13.2,16.4,15.0,5.0,0.03,2.2,,,,,,,JPL K155/2,2457380.5,57380,2015-12-24.0,J2000,0.5842,4.876,2.028,3.98,150.28,147.12,23.78,7.73,0.09153,2457120.71,2015-04-08.2,3930.0,10.8,1.01,395.0,0.025,2.63,6.6e-07,5.4e-07,3.3e-06,2.1e-05,0.00016,0.00028,6.7e-05,8.5e-07,1.5e-08,0.00072,0.00065,JFc,Ryan S. Park,15880.0,1972-04-17,2015-10-09,297,,,0.0,0.73554,,1.3e-08,4.1e-10,-1e-09,1.7e-10,,,77.1,7.75
1000111,43P/Wolf-Harrington,43P,Wolf-Harrington,P,,0,,9.5,13.9,14.5,5.0,0.03,3.6,,,,,,,JPL K162/13,2456835.5,56835,2014-06-27.0,J2000,0.5949,3.35,1.357,15.97,249.86,191.56,233.91,5.34,0.1607,2457619.97,2016-08-19.4,2240.0,6.13,0.374,146.0,0.0731,2.79,9.5e-08,1.7e-07,3.6e-07,7.4e-06,5.5e-05,6.4e-05,1.7e-05,2.8e-07,1.2e-08,5.7e-05,0.00017,JFc,Shantanu Naidu,5274.0,2009-05-24,2023-11-01,1673,,,0.0,0.67007,,4e-09,5.5e-11,1.2e-10,4.3e-12,,,,
1000071,44P/Reinmuth 2,44P,Reinmuth,P,,0,,13.9,,5.75,,,3.22,,,,,,,JPL K222/2,2458936.5,58936,2020-03-28.0,J2000,0.427,3.689,2.114,5.9,286.48,58.12,254.74,5.26,0.1391,2459693.2,2022-04-23.6,2590.0,7.09,1.11,433.0,0.523,2.92,8.2e-08,5.2e-08,3e-07,1.3e-05,0.00015,0.00016,2.6e-05,7.4e-08,2.9e-09,0.00018,5.4e-05,JFc,Davide Farnocchia,3561.0,2014-05-01,2024-01-30,1493,,,0.0,0.61696,,,,,,,,,
1000045,45P/Honda-Mrkos-Pajdusakova,45P,Honda-Mrkos-Pajdusakova,P,Y,0,,13.7,18.0,22.0,5.0,0.03,1.6,,,,,,,JPL K222/7,2457979.5,57979,2017-08-14.0,J2000,0.824,3.026,0.533,4.25,88.93,326.34,42.26,5.52,0.1872,2457753.78,2016-12-31.2,1920.0,5.26,0.0604,23.5,0.105,2.58,7.2e-08,7.1e-07,2.4e-07,4.5e-06,0.00011,0.00012,1.6e-05,1.3e-06,6.6e-08,8.8e-06,0.00068,JFc,Davide Farnocchia,2067.0,2016-11-05,2022-07-04,1823,8.0,4.0,1.0,0.64613,,5.4e-09,7.6e-10,1.8e-10,1.2e-10,,,-25.8,4.86
